season,district,field_size_acres,potato_variety,soil_type,planned_fertilizer_kg_per_acre,seed_cost_lkr,fertilizer_cost_lkr,labor_cost_lkr,crop_quality,hands_on_money_lkr,selling_price_lkr_per_kg,actual_yield_kg_per_acre
Yala,Badulla,0.96,Lapala,Sandy_Loam,1016,165569,14904,102858,Low,283331,122,5374
Yala,Nuwara_Eliya,1.03,Granola,Loamy,1175,182374,19032,128875,High,330281,104,7379
Maha,Nuwara_Eliya,1.23,Granola,Loamy,1074,177974,17978,94180,Medium,290132,120,6434
Maha,Nuwara_Eliya,2.86,Granola,Loamy,1319,185712,18264,111692,High,315668,124,7375
Maha,Nuwara_Eliya,1.48,Granola,Sandy_Loam,924,155587,11319,165805,Medium,332711,112,6586
Yala,Nuwara_Eliya,2.32,Granola,Sandy_Loam,1129,187461,22229,166008,Medium,375698,127,6880
Maha,Badulla,1.2,Granola,Loamy,1316,232208,23911,96664,Medium,352783,107,6317
Yala,Nuwara_Eliya,1.62,Granola,Loamy,1377,238829,23859,143216,High,405904,103,7271
Maha,Badulla,2.93,Lapala,Sandy_Loam,1044,148270,18463,99980,Low,266713,111,5645
Yala,Nuwara_Eliya,1.91,Lapala,Loamy,1031,175497,16824,108275,Medium,300596,137,6703
Maha,Nuwara_Eliya,2.7,Lapala,Loamy,1178,177786,18061,169495,Low,365342,106,5771
Yala,Badulla,2.77,Granola,Sandy_Loam,1008,141146,14939,117430,Medium,273515,98,6869
Yala,Badulla,0.8,Granola,Clay_Loam,1242,217537,18517,177460,Low,413514,138,5978
Maha,Badulla,1.25,Granola,Loamy,795,135530,12737,94633,High,242900,103,8014
Maha,Nuwara_Eliya,0.86,Granola,Clay_Loam,1353,240943,18808,155539,Medium,415290,108,6716
Maha,Badulla,0.73,Lapala,Loamy,970,144846,11956,143180,Low,299982,123,5565
Maha,Badulla,1.07,Lapala,Loamy,1016,189825,13309,120695,High,323829,95,7339
Maha,Badulla,1.07,Granola,Clay_Loam,1509,250240,21256,179662,Medium,451158,138,6572
Maha,Badulla,1.35,Granola,Sandy_Loam,1323,190785,17586,170869,Low,379240,120,5798
Yala,Badulla,2.93,Granola,Loamy,1443,237057,22492,179501,Medium,439050,98,6107
Yala,Nuwara_Eliya,2.37,Lapala,Clay_Loam,1364,197348,20380,113868,Medium,331596,102,6725
Yala,Badulla,2.73,Lapala,Sandy_Loam,1579,260743,26235,134326,Medium,421304,99,6613
Maha,Nuwara_Eliya,0.56,Lapala,Loamy,1155,162592,22437,128536,High,313565,138,7415
Yala,Nuwara_Eliya,1.24,Granola,Clay_Loam,1342,209145,17923,140112,Medium,367180,136,6839
Maha,Nuwara_Eliya,2.18,Granola,Loamy,994,181338,13014,153801,Medium,348153,117,6704
Maha,Badulla,1.14,Lapala,Loamy,963,135069,16393,107484,Medium,258946,93,6308
Yala,Badulla,1.34,Granola,Loamy,1102,179934,18007,115788,Medium,313729,119,6134
Yala,Nuwara_Eliya,2.56,Granola,Loamy,1216,201992,22082,109423,Medium,333497,121,6251
Yala,Nuwara_Eliya,1.83,Granola,Sandy_Loam,794,142728,11248,129507,Low,283483,93,5831
Yala,Nuwara_Eliya,2.59,Lapala,Loamy,1237,183898,16392,112521,Medium,312811,117,6929
Yala,Badulla,2.1,Granola,Sandy_Loam,1531,217992,25304,104278,Medium,347574,96,6477
Yala,Badulla,0.74,Granola,Clay_Loam,1107,164684,13435,158702,Medium,336821,130,6162
Yala,Badulla,0.62,Other,Clay_Loam,1200,200362,20966,145426,Medium,366754,137,6244
Yala,Nuwara_Eliya,2.09,Lapala,Sandy_Loam,1351,227870,17600,163008,Medium,408478,131,6434
Yala,Badulla,2.13,Granola,Loamy,1090,154723,18471,120289,Medium,293483,122,6894
Maha,Nuwara_Eliya,1.35,Granola,Loamy,946,165213,13988,174298,Medium,353499,91,6964
Yala,Badulla,1.87,Granola,Sandy_Loam,1522,222797,21308,142248,Medium,386353,133,6926
Yala,Badulla,2.2,Lapala,Loamy,1305,207346,21238,134690,Medium,363274,109,6114
Maha,Badulla,0.63,Other,Clay_Loam,1278,222165,20269,134372,Low,376806,94,4835
Yala,Badulla,1.88,Granola,Clay_Loam,1175,210401,15166,173783,High,399350,138,7421
Maha,Badulla,2.34,Granola,Sandy_Loam,1218,221583,18767,110031,High,350381,109,7599
Maha,Badulla,1.78,Granola,Sandy_Loam,1216,222718,23156,111301,Medium,357175,135,6987
Yala,Nuwara_Eliya,2.27,Granola,Loamy,996,155886,15413,112831,High,284130,110,7293
Yala,Nuwara_Eliya,2.42,Lapala,Sandy_Loam,1366,237754,18987,126020,Low,382761,113,5424
Yala,Nuwara_Eliya,1.59,Lapala,Clay_Loam,820,116579,15905,172720,Medium,305204,102,6235
Yala,Nuwara_Eliya,0.92,Granola,Loamy,1319,250335,23181,124578,High,398094,126,8029
Maha,Nuwara_Eliya,0.64,Granola,Loamy,1002,172687,15136,110645,Medium,298468,103,6840
Yala,Nuwara_Eliya,1.63,Granola,Loamy,1101,176776,18521,114386,Medium,309683,96,6232
Maha,Badulla,2.31,Lapala,Loamy,1435,271737,18946,143471,High,434154,109,7427
Maha,Badulla,2.6,Granola,Loamy,1106,169959,13770,167825,High,351554,130,8210
Maha,Badulla,1.96,Lapala,Sandy_Loam,929,139584,13016,114725,Medium,267325,100,6903
Maha,Nuwara_Eliya,1.17,Granola,Loamy,1072,175604,19993,117699,High,313296,130,8142
Maha,Badulla,1.97,Granola,Loamy,1318,237572,25338,145553,High,408463,139,7371
Maha,Nuwara_Eliya,1.89,Granola,Sandy_Loam,1442,241350,22505,171942,Medium,435797,104,6848
Yala,Badulla,2.49,Granola,Clay_Loam,1225,192779,16749,142168,Medium,351696,107,6532
Maha,Nuwara_Eliya,2.24,Granola,Sandy_Loam,1103,177123,20950,136371,High,334444,138,7007
Maha,Badulla,2.55,Granola,Loamy,1210,201732,17965,170479,Medium,390176,96,6776
Maha,Badulla,0.73,Granola,Sandy_Loam,1102,182472,14607,123955,High,321034,90,7551
Yala,Badulla,0.96,Granola,Loamy,1674,265238,26282,157272,Medium,448792,91,6609
Maha,Badulla,2.61,Lapala,Loamy,1137,208481,16865,125744,Medium,351090,95,6973
Yala,Nuwara_Eliya,1.91,Lapala,Loamy,887,139388,14007,121959,Medium,275354,122,6470
