Farm_ID,Location,Collection_Date,Growth_Stage,pH,EC,P,K,Temperature,Humidity,Moisture,N,Soil_Suitability,N_Status,P_Status,K_Status,Recommended_Urea,Recommended_TSP,Recommended_MOP,Recommended_Organic
BD_BW_2023_0001,Bandarawela,10/9/2023,Vegetative,6.4,0.136,116.5,335.9,25.7,65.4,58.3,50.2,2,2,2,2,7,0,0,0
BD_BR_2023_0001,Boralanda,4/15/2023,Germination,5.65,0.094,64.2,211.4,19.9,80.4,48.5,20.8,2,0,1,1,5.5,4.5,8,1000
BD_MH_2024_0001,Mirahawatte,2/2/2023,Germination,5.84,0.083,84.7,368.6,18.4,80.9,58.3,68.5,2,2,1,2,3,4.5,5,1000
BD_BW_2023_0002,Bandarawela,8/27/2023,Germination,5.96,0.071,143.7,321.6,20.3,83.2,44.7,47.9,2,1,2,2,5.5,0,5,600
BD_ME_2023_0001,Makul_Ella,10/27/2024,Maturation,6.49,0.042,43.4,250.4,23.4,76.5,61.4,40.2,1,1,0,1,0,0,0,0
BD_BR_2024_0002,Boralanda,8/26/2024,Tuber_Initiation,5.39,0.113,32.5,278.7,16.1,91.6,41,41.4,1,1,0,1,11,0,12.5,0
BD_HP_2023_0001,Haputhale,12/15/2024,Maturation,5.93,0.118,135.3,351.2,18.9,87.3,50.7,46.3,2,1,2,2,0,0,0,0
BD_RK_2024_0001,Rathkarawua,6/9/2023,Vegetative,5.6,0.078,147.5,302.9,26.1,77.4,66.5,54.5,2,2,2,2,7,0,0,0
BD_RK_2023_0002,Rathkarawua,4/5/2023,Maturation,6.34,0.136,103.9,324.5,22.4,68.5,40.2,75,2,2,2,2,0,0,0,0
BD_BW_2024_0003,Bandarawela,12/19/2023,Tuber_Initiation,5.63,0.091,146.1,346.1,21.8,66.5,43.4,59.8,2,2,2,2,5.5,0,8,0
BD_HP_2024_0002,Haputhale,7/3/2024,Germination,5.88,0.1,107.5,346.6,25.2,76.4,54.3,59,2,2,2,2,3,0,5,600
BD_HN_2023_0001,Hinnarangolla,7/19/2024,Tuber_Initiation,5.85,0.125,69,303.7,20.3,76,50.1,38.1,2,1,1,2,11,0,8,0
BD_MH_2024_0002,Mirahawatte,8/14/2024,Vegetative,6.06,0.102,99.9,303.5,25.8,87.3,71,40.5,2,1,1,2,11,0,0,0
BD_BW_2023_0004,Bandarawela,11/8/2024,Vegetative,6.19,0.06,78.2,267.1,20.4,70.6,74.9,48.5,2,1,1,1,11,0,0,0
BD_OH_2023_0001,Ohiya,8/27/2023,Germination,5.88,0.082,89,238.3,18.1,83.6,43.9,45.7,2,1,1,1,5.5,4.5,8,600
BD_HN_2024_0002,Hinnarangolla,4/9/2024,Tuber_Initiation,5.52,0.21,121.5,310.3,17.3,82.6,49.4,28.1,2,0,2,2,16.5,0,8,0
BD_WD_2024_0001,Welimada,12/30/2023,Vegetative,5.07,0.164,82.1,186.9,17.1,80.8,52.7,44.2,1,1,1,1,11,0,0,0
BD_OH_2023_0002,Ohiya,9/15/2024,Vegetative,5.79,0.166,96.7,292.2,12.7,93.5,61.2,21.9,1,0,1,1,11,0,0,0
BD_ME_2023_0002,Makul_Ella,6/17/2023,Maturation,6.16,0.074,103.5,178.2,16.7,77.7,65.3,44.2,2,1,2,1,0,0,0,0
